,ISBN13,Title,Author,My Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Added,Private Notes,recommended
0,9780465026210,"Gay New York: Gender, Urban Culture, and the Making of the Gay Male World 1890-1940",George Chauncey,4,Basic Books,496.0,1995.0,1994.0,2019-11-01,,False
1,9780525521037,"The Source of Self-Regard: Selected Essays, Speeches, and Meditations",Toni Morrison,2,Knopf Publishing Group,354.0,2019.0,2019.0,2019-06-15,,False
4,9780062906403,Over the Top: A Raw Journey to Self-Love,Jonathan Van Ness,2,HarperAudio,400.0,2019.0,2019.0,2019-10-26,,False
5,9780385542845,Never Enough: The Neuroscience and Experience of Addiction,Judith Grisel,4,Doubleday Books,256.0,2019.0,2019.0,2019-10-25,,False
7,,Hurricanes: A Memoir,Rick  Ross,2,Hanover Square Press,288.0,2019.0,2019.0,2019-10-24,,False
8,9780307477439,Zoobiquity: The Astonishing Connection Between Human and Animal Health,Barbara Natterson-Horowitz,5,Vintage,416.0,2013.0,2012.0,2018-04-27,,True
11,9781250147608,Me,Elton John,3,Henry Holt & Company,352.0,2019.0,2019.0,2019-10-19,,False
13,9781846045097,The Art of Living,Thich Nhat Hanh,5,Rider,224.0,2017.0,2017.0,2019-10-18,,True
14,9781501132735,How We Fight For Our Lives,Saeed Jones,1,Simon and Schuster,192.0,2019.0,2019.0,2019-10-17,,False
15,,Gender and Our Brains: How New Neuroscience Explodes the Myths of the Male and Female Minds,Gina Rippon,4,Pantheon,448.0,2019.0,2019.0,2019-10-17,,False
16,9781405204279,The Te of Piglet,Benjamin Hoff,2,Egmont Childrens Books,257.0,2003.0,1992.0,2018-08-09,philosophy,False
17,9780544086616,The Evil Hours: A Biography of Post-Traumatic Stress Disorder,David J. Morris,3,Eamon Dolan/Houghton Mifflin Harcourt,352.0,2015.0,2015.0,2018-09-12,"sociology, psychology",False
18,9781594487712,Where Good Ideas Come from: The Natural History of Innovation,Steven Johnson,4,Riverhead Books,326.0,2010.0,2010.0,2018-09-17,"history, sociology",False
19,9780195181920,When Languages Die: The Extinction of the World's Languages and the Erosion of Human Knowledge,K. David Harrison,5,"Oxford University Press, USA",304.0,2007.0,2007.0,2018-08-11,"history, sociology, linguistics, current events",False
20,9781592406524,Just My Type: A Book About Fonts,Simon Garfield,3,Gotham,384.0,2011.0,2010.0,2018-09-20,"history, books",False
21,9780192862020,The Crucible of Creation: The Burgess Shale and the Rise of Animals,Simon Conway Morris,2,"Oxford University Press, USA",276.0,2000.0,,2018-08-11,"history, evolution",False
22,9780525949695,This Is Your Brain on Music: The Science of a Human Obsession,Daniel J. Levitin,4,Dutton Adult,314.0,2006.0,2006.0,2018-09-22,"psychology, human biology, music",False
23,9780393076028,Brain Bugs: How the Brain's Flaws Shape Our Lives,Dean Buonomano,4,W. W. Norton & Company,310.0,2011.0,2011.0,2018-09-23,"psychology, sociology, human biology",True
24,9781594201400,Listening Is an Act of Love: A Celebration of American Life from the StoryCorps Project,Dave Isay,3,"Penguin Press HC, The",284.0,2007.0,2007.0,2018-09-24,"memoir, collection",False
25,9781622313884,People We Meet: Unforgettable Conversations,National Public Radio,4,HighBridge Company,3.0,2014.0,2014.0,2018-09-24,"memoir, collection",False
26,9780195175004,The Meaning of Everything: The Story of the Oxford English Dictionary,Simon Winchester,4,"Oxford University Press, USA",288.0,2004.0,2003.0,2018-09-27,"history, books",False
27,9780307263612,Horseshoe Crabs and Velvet Worms: The Story of the Animals and Plants That Time Has Left Behind,Richard Fortey,5,Knopf,332.0,2012.0,2011.0,2018-08-11,"history, evolution",False
28,9781631494406,"How Do We Look: The Body, the Divine, and the Question of Civilization",Mary Beard,4,Liveright,240.0,2018.0,2018.0,2018-06-27,"history, sociology",False
29,9781503604131,Jaws: The Story of a Hidden Epidemic,Sandra Kahn,2,Stanford University Press,216.0,2018.0,2018.0,2018-06-11,human biology,False
30,9780786703821,Scott's Last Expedition: The Journals,Robert Falcon Scott,4,Basic Books,442.0,1996.0,1913.0,2018-10-01,"history, memoir",False
31,9780060936389,Over the Edge of the World: Magellan's Terrifying Circumnavigation of the Globe,Laurence Bergreen,1,William Morrow Paperbacks,438.0,2004.0,2003.0,2018-10-03,"history, biography",False
32,9780060838591,"Krakatoa: The Day the World Exploded: August 27, 1883",Simon Winchester,3,Harper Perennial,464.0,2005.0,2003.0,2018-10-05,"history, environment",False
33,9780525954187,The Organized Mind: Thinking Straight in the Age of Information Overload,Daniel J. Levitin,3,Dutton,528.0,2014.0,2014.0,2018-10-10,"psychology, human biology",False
34,9781101870327,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,1,Pantheon Books,335.0,2018.0,2018.0,2018-10-13,"human biology, evolution",True
35,9780316200592,"The Witches: Salem, 1692",Stacy Schiff,1,Back Bay Books,512.0,2016.0,2015.0,2018-10-12,history,False
36,9781984822581,Always Look on the Bright Side of Life: A Sortabiography,Eric Idle,1,Crown Archetype,290.0,2018.0,2018.0,2018-08-17,memoir,False
37,9780446580267,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric    Weiner,3,Twelve,335.0,2008.0,2008.0,2018-10-20,memoir,False
38,9780465002962,The Half Has Never Been Told: Slavery and the Making of American Capitalism,Edward E. Baptist,5,Basic Books,498.0,2014.0,2013.0,2018-10-27,"history, racism, civil rights, current events, politics",True
39,9780670025503,The Brain's Way of Healing: Remarkable Discoveries and Recoveries from the Frontiers of Neuroplasticity,Norman Doidge,2,Viking,409.0,2015.0,2015.0,2018-10-30,"psychology, human biology",False
40,9780374287863,The Disordered Mind: What Unusual Brains Tell Us about Ourselves,Eric R. Kandel,5,"Farrar, Straus and Giroux",304.0,2018.0,2018.0,2018-08-09,"psychology, sociology, human biology<br/>",True
41,,We Should All Be Feminists,Chimamanda Ngozi Adichie,5,Vintage,52.0,2014.0,2014.0,2018-10-30,"memoirs, philosophy, civil rights, current events",True
42,9781524733131,"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,5,Knopf Publishing Group,63.0,2017.0,2017.0,2018-10-30,"philosophy, current events, civil rights",False
43,9781902163468,Amazing Rare Things: The Art of Natural History in the Age of Discovery,David Attenborough,2,Yale University Press,223.0,2015.0,2007.0,2019-04-17,"philosophy, environment, history",False
44,9780553447439,Evicted: Poverty and Profit in the American City,Matthew Desmond,4,Crown,418.0,2016.0,2016.0,2019-06-23,"sociology, current events, politics, civil rights",False
45,9781771644013,"Scatterbrain : How the mind's mistakes make humans creative, innovative and successful",Henning Beck,4,Greysrone,336.0,2019.0,,2019-10-13,"psychology, human biology",False
46,9780061774003,Burn This Book: PEN Writers Speak Out on the Power of the Word,Toni Morrison,2,Harper,128.0,2009.0,2009.0,2019-10-14,"philosophy, literature, collection",False
47,9781501716577,Professor at Large: The Cornell Years,John Cleese,3,Cornell University Press,248.0,2018.0,2018.0,2018-08-17,memoir,False
48,9780735221802,The Great Unknown: Seven Journeys to the Frontiers of Science,Marcus du Sautoy,3,Viking,450.0,2017.0,2017.0,2018-11-03,"science, physics, mathematics",False
49,9781430300618,My Stroke of Insight: A Brain Scientist's Personal Journey,Jill Bolte Taylor,4,Lulu.com,188.0,2006.0,2006.0,2018-11-04,"memoir, psychology, human biology",True
50,9780571212927,A Beautiful Mind,Sylvia Nasar,3,Faber  Faber,461.0,2002.0,1998.0,2018-11-10,"biography, mathematics",False
51,,The Order of Time,Carlo Rovelli,4,Penguin,240.0,2018.0,2017.0,2018-11-15,physics,False
52,,Sapiens: A Brief History of Humankind,Yuval Noah Harari,4,Harvill Secker,498.0,2014.0,2011.0,2018-11-15,"human evolution, psychology, sociology",False
53,9781419727726,The Good Neighbor: The Life and Work of Fred Rogers,Maxwell King,2,Harry N. Abrams,416.0,2018.0,2018.0,2018-11-19,biography,False
54,9780393354775,The Undoing Project: A Friendship That Changed Our Minds,Michael   Lewis,2,W. W. Norton  Company,368.0,2017.0,2016.0,2018-11-21,"biography, science",False
55,9780674061439,Religion in Human Evolution: From the Paleolithic to the Axial Age,Robert N. Bellah,3,Belknap Press of Harvard University Press,776.0,2011.0,2011.0,2018-01-21,"psychology, evolution",False
56,9781416551737,Wesley the Owl: The Remarkable Love Story of an Owl and His Girl,Stacey O'Brien,4,Free Press,230.0,2008.0,2008.0,2018-11-23,"memoir, animals, birds",False
57,9780805095159,Being Mortal: Medicine and What Matters in the End,Atul Gawande,4,Metropolitan Books,282.0,2014.0,2014.0,2018-11-24,"sociology, mortality ",False
58,,Tribe: On Homecoming and Belonging,Sebastian Junger,1,Twelve,182.0,2016.0,2016.0,2018-11-24,sociology,False
59,9781631494758,Women & Power: A Manifesto,Mary Beard,4,Liveright,115.0,2017.0,2017.0,2018-11-25,"history, sociology, civil rights",False
60,9781439148181,"The Great Penguin Rescue: 40,000 Penguins, a Devastating Oil Spill, and the Inspiring Story of the World's Largest Animal Rescue",Dyan deNapoli,2,Free Press,320.0,2011.0,2010.0,2018-11-28,"animals, birds, conservation",False
61,9781524763138,Becoming,Michelle Obama,5,Crown,426.0,2018.0,2018.0,2018-11-18,"memoir, racism, civil rights",False
62,9781455568505,The Breakthrough: Immunotherapy and the Race to Cure Cancer,Charles Graeber,2,Twelve,320.0,2018.0,2018.0,2018-12-05,"memoir, human biology",False
63,9780061712616,Hero: The Life and Legend of Lawrence of Arabia,Michael Korda,1,Harper,699.0,2010.0,2010.0,2018-12-08,"biography, history",False
64,9780062652577,The Perfectionists: How Precision Engineers Created the Modern World,Simon Winchester,3,Harper,416.0,2018.0,2018.0,2018-12-09,"history, technology",False
65,9780385347310,"Hardwiring Happiness: The New Brain Science of Contentment, Calm, and Confidence",Rick Hanson,2,Harmony,304.0,2013.0,2013.0,2018-12-11,"psychology, sociology, philosophy",False
66,9780525955221,A Field Guide to Lies: Critical Thinking in the Information Age,Daniel J. Levitin,5,Dutton,292.0,2016.0,2016.0,2018-12-13,"psychology, sociology",True
67,9780374168650,Heart: A History,Sandeep Jauhar,2,"Farrar, Straus and Giroux",269.0,2018.0,2018.0,2018-07-02,"human biology, memoir",False
68,9780812994865,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,Naoki Higashida,3,Random House,135.0,2013.0,2005.0,2018-12-15,"memoir, psychology, sociology, civil rights",False
69,9780385520171,Factory Girls: From Village to City in a Changing China ,Leslie T. Chang,3,Spiegel & Grau,420.0,2008.0,2008.0,2018-12-17,"current events, politics, civil rights",False
70,9781101875551,In Other Words,Jhumpa Lahiri,4,Knopf,233.0,2016.0,2015.0,2018-12-18,"memoir, linguistics",False
71,9781476733500,The Gene: An Intimate History,Siddhartha Mukherjee,2,Scribner,592.0,2016.0,2016.0,2018-12-22,"human biology, evolution",False
72,9780062863003,GuRu,RuPaul,2,Dey Street Books,208.0,2018.0,2018.0,2018-12-23,"memoir, LGBTQ",False
73,9781590207208,Drinking Water: A History,James Salzman,3,Harry N. Abrams,320.0,2012.0,2012.0,2018-12-23,"science, history, politics, current events",False
74,,Homo Deus: A History of Tomorrow,Yuval Noah Harari,3,Harper,450.0,2017.0,2015.0,2018-12-24,"human biology, current events, politics",False
75,9780316322409,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,2,"Little, Brown and Company",327.0,2013.0,2012.0,2018-12-26,"memoir, civl rights",False
76,9781455587971,The Telomere Effect: The New Science of Living Younger,Elizabeth Blackburn,2,Grand Central Publishing,416.0,2017.0,2017.0,2018-12-27,human biology,False
77,9780393052121,Nelson Mandela's Favorite African Folktales,Nelson Mandela,4,W. W. Norton  Company,144.0,2002.0,2002.0,2018-12-27,"culture, fiction",False
78,9780547636450,The Autistic Brain: Thinking Across the Spectrum,Temple Grandin,5,Houghton Mifflin Harcourt,206.0,2013.0,2013.0,2018-12-30,"memoir, animals, psychology, civil rights",True
79,9780767920643,The Art of Happiness in a Troubled World,Dalai Lama XIV,2,Harmony,368.0,2009.0,2008.0,2018-12-31,"philosophy, current events, politics",False
80,9781591845119,The Sports Gene: Inside the Science of Extraordinary Athletic Performance,David   Epstein,2,Current,338.0,2013.0,2013.0,2019-01-01,"human biology, evolution, sports",False
81,,Norse Mythology,Neil Gaiman,3,W. W. Norton & Company,301.0,2018.0,2017.0,2019-01-02,"culture, fiction",False
82,9780062388797,"Reader, Come Home: The Reading Brain in a Digital World",Maryanne Wolf,3,Harper,288.0,2018.0,2018.0,2019-01-05,"psychology, sociology, human biology, books",False
83,9781509830091,The Rise and Fall of the Dinosaurs: The Untold Story of a Lost World,Steve Brusatte,2,Picador,320.0,2019.0,2018.0,2019-01-05,"pre-history, animals",False
84,9780399184499,Wonderland: How Play Made the Modern World,Steven Johnson,2,Riverhead Books,336.0,2017.0,2016.0,2019-01-11,"psychology, sociology",False
85,9781455539741,Hamilton: The Revolution,Lin-Manuel Miranda,5,Grand Central Publishing,285.0,2016.0,2016.0,2019-01-12,"memoir, music, current events, politics, civil rights",True
86,9780676973129,When the Body Says No: The Cost of Hidden Stress,Dr. Gabor Maté,2,Vintage Canada,320.0,2004.0,2003.0,2019-01-12,"psychology, human biology",False
87,9781250054050,What I Know for Sure,Oprah Winfrey,2,Flatiron Books,228.0,2014.0,2014.0,2019-01-13,"memoir, philosophy, civil rights, racism",False
88,9780553802023,The Universe in a Nutshell,Stephen Hawking,2,Bantam,216.0,2001.0,2001.0,2019-01-15,"memoir, physics",False
89,9781101902806,American Wolf,Nate Blakeslee,3,Broadway Books,320.0,2018.0,2017.0,2019-01-15,"animals, conservation, current events, politics",False
90,9780544986831,A Naturalist at Large: The Best Essays of Bernd Heinrich,Bernd Heinrich,3,Houghton Mifflin Harcourt,304.0,2018.0,2018.0,2019-01-18,"memoir, animals, ecosystems, conservation",False
91,9781596914018,"The Art Instinct: Beauty, Pleasure, and Human Evolution",Denis Dutton,5,Bloomsbury Press,278.0,2008.0,2008.0,2018-10-03,"psychology, human biology, evolution",True
92,9780316548182,Long Walk to Freedom,Nelson Mandela,5,Back Bay Books,656.0,1995.0,1994.0,2019-01-24,"memoir, current events, politics, racism, civil rights",False
93,9781594202292,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,2,"Penguin Press HC, The",307.0,2011.0,2011.0,2019-01-26,"psychology, human biology",False
94,,Bookends: Collected Intros and Outros,Michael Chabon,2,Harper Perennial,192.0,2019.0,2019.0,2019-01-29,books,False
95,9781594488849,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,2,Riverhead Books,242.0,2009.0,2009.0,2019-01-30,"sociology, psychology",False
96,9780199608447,The Oxford Illustrated History of Witchcraft and Magic,Owen  Davies,2,"Oxford University Press, USA",416.0,2017.0,,2018-05-23,"history, sociology",False
97,,This is Your Brain on Anxiety; What Happens and What Helps,Faith G. Harper,1,,26.0,,,2019-02-03,"psychology, philosophy",False
98,9780553371307,Food of the Gods: The Search for the Original Tree of Knowledge,Terence McKenna,3,Bantam Books (NY et al.),311.0,1993.0,1992.0,2019-02-02,"psychology, human biology",False
99,9781107043626,Metonymy,Jeannette Littlemore,5,Cambridge University Press,240.0,2015.0,2015.0,2018-08-22,linguistics,False
100,9781501139154,Leonardo da Vinci,Walter Isaacson,4,Simon & Schuster,600.0,2017.0,2017.0,2019-02-05,biography,False
101,9780965809818,Monkeys Are Made of Chocolate: Exotic and Unseen Costa Rica,Jack Ewing,2,Pixyjack Press,210.0,2005.0,2003.0,2019-01-02,"memoir, animals, ecosystems, conservation",False
102,9780143034759,Alexander Hamilton,Ron Chernow,3,Penguin Books,818.0,2005.0,2004.0,2019-02-09,biography,False
103,9780062079602,"The Men Who United the States: America's Explorers, Inventors, Eccentrics and Mavericks, and the Creation of One Nation, Indivisible",Simon Winchester,2,Harper,496.0,2013.0,2013.0,2019-02-10,history,False
104,9780071357432,Lost Languages: The Enigma of the World's Undeciphered Scripts,Andrew Robinson,4,McGraw-Hill Companies,352.0,2002.0,2002.0,2018-01-21,"history, linguistics",False
105,9781328787309,The Neuroscientist Who Lost Her Mind: My Tale of Madness and Recovery,Barbara K. Lipska,4,Houghton Mifflin Harcourt,208.0,2018.0,2018.0,2019-02-13,"memoir, psychology, human biology",False
106,9780679724346,Tao Te Ching,Lao Tzu,3,Vintage,160.0,1989.0,-600.0,2019-02-14,philosophy,False
107,9781250135995,Tears We Cannot Stop: A Sermon to White America,Michael Eric Dyson,3,St. Martin's Press,228.0,2017.0,2017.0,2019-02-16,"memoir, politics, current events, racism",False
108,,"Popol Vuh: The Sacred Book of the Maya: The Great Classic of Central American Spirituality,",Allen J. Christenson,3,,328.0,2015.0,2015.0,2019-02-01,"history, culture, fiction",False
109,9781101980415,How to Disappear: Notes on Invisibility in a Time of Transparency,Akiko Busch,4,Penguin Press,224.0,2019.0,,2019-02-17,"philosophy, sociology",False
110,9780226065120,Bats: A World of Science and Mystery,Melville Brockett Fenton,5,University of Chicago Press,240.0,2015.0,2014.0,2018-08-22,"animals, ecology",False
111,9781405160223,Making Up the Mind: How the Brain Creates Our Mental World,Chris Frith,4,Wiley-Blackwell,246.0,2007.0,2007.0,2018-02-24,"psychology, human biology",False
112,9781901768718,Classic Irish Short Stories,T.P. McKenna,1,CSA WORD,,2002.0,1996.0,2019-02-22,fiction,False
113,9781984823939,Queer Eye: Love Yourself. Love Your Life.,Antoni Porowski,2,Potter/Ten,256.0,2018.0,2018.0,2019-02-24,"memoir, LGBTQ",False
114,9781250134189,The Seabird's Cry: The Lives and Loves of the Planet's Great Ocean Voyagers,Adam Nicolson,2,Henry Holt & Company,416.0,2018.0,2017.0,2019-02-23,"animals, birds",False
115,9780062866479,A Call for Revolution: A Vision for the Future,Dalai Lama XIV,3,William Morrow,128.0,2018.0,2018.0,2019-02-24,"philosophy, current events, politics",False
116,9781610394376,The Biology of Desire: Why Addiction Is Not a Disease,Marc  Lewis,4,PublicAffairs,256.0,2015.0,2015.0,2019-02-28,"psychology, human biology",True
117,9780525512172,21 Lessons for the 21st Century,Yuval Noah Harari,4,Spiegel & Grau,372.0,2018.0,2018.0,2019-03-01,"history, sociology, current events, politics",False
118,9781501181245,Influenza: The Hundred-Year Hunt to Cure the Deadliest Disease in History,Jeremy   Brown,3,Atria Books,272.0,2018.0,2018.0,2019-03-02,"human health, history",False
119,9780062218360,Think Like a Freak,Steven D. Levitt,3,William Morrow,304.0,2014.0,2014.0,2019-03-03,"psychology, sociology",False
120,9781594205248,The Power Paradox: How We Gain and Lose Influence,Dacher Keltner,3,Penguin Press,208.0,2016.0,2016.0,2019-03-03,"sociology, psychology",False
121,,"Gmorning, Gnight!: Little Pep Talks for Me & You",Lin-Manuel Miranda,5,Random House,224.0,2018.0,2018.0,2019-03-03,philosophy,False
122,9780062651228,Dollars and Sense: How We Misthink Money and How to Spend Smarter,Dan Ariely,4,Harper,288.0,2017.0,2017.0,2019-03-09,"psychology, sociology",False
123,9781107023963,Chopsticks: A Cultural and Culinary History,Q. Edward Wang,5,Cambridge University Press,210.0,2015.0,2014.0,2018-08-22,"history, culture, sociology",False
124,9781594632969,How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,3,Riverhead Books,293.0,2014.0,2014.0,2019-03-14,"history, technology",False
125,9780786706211,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,2,Carroll & Graf Publishers,282.0,1959.0,1959.0,2019-03-17,"history, sociology",False
126,9780375424434,The Architecture of Happiness,Alain de Botton,2,Pantheon Books,280.0,2006.0,2006.0,2019-03-21,"philosophy, architecture",False
127,9780060921705,"Barracoon: The Story of the Last ""Black Cargo""",Zora Neale Hurston,3,HarperCollins Publishers,193.0,2018.0,2018.0,2019-03-25,"memoir, racism, history",False
128,9780996934701,This Chair Rocks: A Manifesto Against Ageism,Ashton Applewhite,3,"Networked Books, Inc.",288.0,2016.0,2016.0,2019-03-25,"civil rights, sociology",False
129,9780714834528,A History of Illuminated Manuscripts,Christopher de Hamel,4,Phaidon Press,272.0,1997.0,1986.0,2018-01-04,"history, books",False
130,9780307706102,The Collected Stories of Winnie-The-Pooh,A.A. Milne,5,Listening Library,4.0,2009.0,2009.0,2019-04-02,fiction,False
131,,"Love, Life, and Elephants: An African Love Story",Daphne Sheldrick,3,"Farrar, Straus and Giroux",353.0,2012.0,2011.0,2019-04-19,"memoir, animals, conservation, history",False
132,9781453744512,The Complete Works of Edgar Allan Poe,Edgar Allan Poe,2,CreateSpace,236.0,2010.0,1846.0,2019-04-22,fiction,False
133,9780520254374,Sand: The Never-Ending Story,Michael Welland,4,University of California Press,360.0,2009.0,2008.0,2019-04-22,"science, geology",False
134,9781846045783,The Weather Detective: Rediscovering Nature’s Secret Signs,Peter Wohlleben,2,Rider,176.0,2018.0,2012.0,2019-04-22,"science, weather",False
135,9780670024810,The World Until Yesterday: What Can We Learn from Traditional Societies?,Jared Diamond,4,Viking,512.0,2012.0,2012.0,2019-04-27,"sociology, human biology, evolution",False
136,9781982111977,"Karamo: My Story of Embracing Purpose, Healing, and Hope",Karamo Brown,2,Gallery Books,289.0,2019.0,2019.0,2019-04-28,"memoir, racism, LGBTQ",False
137,9781101984598,"She Has Her Mother's Laugh: The Powers, Perversions, and Potential of Heredity",Carl Zimmer,2,Dutton,657.0,2018.0,2018.0,2019-04-30,human biology,False
138,9781546083443,Trailblazer: A Pioneering Journalist's Fight to Make the Media Look More Like America,Dorothy Butler Gilliam,4,Center Street,368.0,2019.0,2019.0,2019-05-01,"memoir, history, racism, civil rights",False
139,9781594488214,Farsighted: How We Make the Decisions That Matter the Most,Steven Johnson,4,Riverhead,256.0,2018.0,2018.0,2019-05-03,"psychology, sociology",False
140,9780061759536,The Invention of Science: A New History of the Scientific Revolution,David Wootton,2,Harper Perennial,784.0,2016.0,2015.0,2018-11-18,"history, science",False
141,9780262028707,Principles of Neural Design,Peter Sterling,5,Mit Press,568.0,2015.0,2015.0,2018-11-30,"psychology, biology, evolution",False
142,9780062429179,Awkward: The Science of Why We're Socially Awkward and Why That's Awesome,Ty Tashiro,4,William Morrow,288.0,2017.0,2017.0,2019-05-11,"psychology, sociology",False
143,9781518985805,"The Inner Life of Animals: Love, Grief, and Compassion: Surprising Observations of a Hidden World",Peter Wohlleben,4,Novel Audio,,2017.0,2016.0,2019-05-12,"animals, conciousness",False
